Grid Size ,85,,,,,,,,
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,0,0,2,2,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,2,2,0,2,0,0
0,1,1,1,2,2,0,2,2,0
0,1,0,1,2,2,0,0,2,0
0,0,1,0,2,2,0,2,0,0
0,1,0,1,2,2,0,0,2,0
0,1,0,0,2,2,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,0,2,2,0,4,0,0
0,1,2,1,2,2,0,4,2,0
0,1,1,1,2,2,0,2,2,0
0,0,2,0,2,2,0,4,0,0
0,1,1,1,2,2,0,2,2,0
0,1,1,0,2,2,0,2,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,0,2,2,0,6,0,0
0,1,3,1,2,2,0,6,2,0
0,1,2,1,2,2,0,4,2,0
0,0,3,0,2,2,0,6,0,0
0,1,2,1,2,2,0,4,2,0
0,1,2,0,2,2,0,4,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,0,2,2,0,8,0,0
0,1,4,1,2,2,0,8,2,0
0,1,3,1,2,2,0,6,2,0
0,0,4,0,2,2,0,8,0,0
0,1,3,1,2,2,0,6,2,0
0,1,3,0,2,2,0,6,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,0,2,2,0,10,0,0
0,1,5,1,2,2,0,10,2,0
0,1,4,1,2,2,0,8,2,0
0,0,5,0,2,2,0,10,0,0
0,1,4,1,2,2,0,8,2,0
0,1,4,0,2,2,0,8,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,0,2,2,0,12,0,0
0,1,6,1,2,2,0,12,2,0
0,1,5,1,2,2,0,10,2,0
0,0,6,0,2,2,0,12,0,0
0,1,5,1,2,2,0,10,2,0
0,1,5,0,2,2,0,10,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,0,2,2,0,14,0,0
0,1,7,1,2,2,0,14,2,0
0,1,6,1,2,2,0,12,2,0
0,0,7,0,2,2,0,14,0,0
0,1,6,1,2,2,0,12,2,0
0,1,6,0,2,2,0,12,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,0,2,2,0,16,0,0
0,1,8,1,2,2,0,16,2,0
0,1,7,1,2,2,0,14,2,0
0,0,8,0,2,2,0,16,0,0
0,1,7,1,2,2,0,14,2,0
0,1,7,0,2,2,0,14,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,9,0,2,2,0,18,0,0
0,1,9,1,2,2,0,18,2,0
0,1,8,1,2,2,0,16,2,0
0,0,9,0,2,2,0,18,0,0
0,1,8,1,2,2,0,16,2,0
0,1,8,0,2,2,0,16,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,10,0,-1.999992371,2,0,20,0,0
0,1,10,1,-1.999992371,2,0,20,2,0
0,1,9,1,2,2,0,18,2,0
0,0,10,0,-1.999992371,2,0,20,0,0
0,1,9,1,2,2,0,18,2,0
0,1,9,0,2,2,0,18,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,0,2,2,0,22,0,0
0,1,11,1,2,2,0,22,2,0
0,1,10,1,-1.999992371,2,0,20,2,0
0,0,11,0,2,2,0,22,0,0
0,1,10,1,-1.999992371,2,0,20,2,0
0,1,10,0,-1.999992371,2,0,20,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,0,2,2,0,24,0,0
0,1,12,1,2,2,0,24,2,0
0,1,11,1,2,2,0,22,2,0
0,0,12,0,2,2,0,24,0,0
0,1,11,1,2,2,0,22,2,0
0,1,11,0,2,2,0,22,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,0,2,2,0,26,0,0
0,1,13,1,2,2,0,26,2,0
0,1,12,1,2,2,0,24,2,0
0,0,13,0,2,2,0,26,0,0
0,1,12,1,2,2,0,24,2,0
0,1,12,0,2,2,0,24,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,14,0,2,2,0,28,0,0
0,1,14,1,2,2,0,28,2,0
0,1,13,1,2,2,0,26,2,0
0,0,14,0,2,2,0,28,0,0
0,1,13,1,2,2,0,26,2,0
0,1,13,0,2,2,0,26,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,15,0,2,2,0,30,0,0
0,1,15,1,2,2,0,30,2,0
0,1,14,1,2,2,0,28,2,0
0,0,15,0,2,2,0,30,0,0
